Molecule,SMILES,EC50 g/L
000057-55-6,C([C@H](C)O)O,0.11
000064-17-5,OCC,0.1
000066-25-1,O=CCCCCC,0.0056
000078-59-1,O=C1C=C(C)CC(C)(C)C1,0.12
000078-70-6,O[C@@](C=C)(C)CCC=C(C)C,0.0367
000078-83-1,CC(C)CO,1.03
000078-93-3,CCC(=O)C,0.52
000079-06-1,C=CC(=O)N,0.16
000079-92-5,C=C1[C@H]2CC[C@H](C2)C1(C)C,0.022
000081-14-1,c1(c(c(c(c(c1C)C(=O)C)C)N(=O)=O)C(C)(C)C)N(=O)=O,0.00046
000081-15-2,c1(c(c(c(c(c1C)N(=O)=O)C)N(=O)=O)C(C)(C)C)N(=O)=O,0.00015
000084-66-2,c1(ccccc1C(=O)OCC)C(=O)OCC,0.052
000084-74-2,CCCCOC(=O)c1ccccc1C(=O)OCCCC,0.00299
000084-75-3,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,0.00018
000085-68-7,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,0.00076
000085-69-8,CCCCOC(=O)c1cccc(c1)C(=O)OC[C@@H](CC)CCCC,0.00007
000090-02-8,O=Cc1ccccc1O,0.0032
000090-05-1,Oc1ccccc1OC,0.02595
000094-13-3,C(=O)(c1ccc(cc1)O)OCCC,0.0123
000094-18-8,C(=O)(c1ccc(cc1)O)OCc1ccccc1,0.004
000094-26-8,C(=O)(c1ccc(cc1)O)OCCCC,0.0053
000099-76-3,C(=O)(c1ccc(cc1)O)OC,0.0246
000099-85-4,C1=C(C)CC=C(C1)C(C)C,0.00345
000099-87-6,c1cc(ccc1C)C(C)C,0.00354
000099-96-7,c1(ccc(cc1)C(=O)O)O,0.173
000100-41-4,c1ccc(cc1)CC,0.00293
000100-42-5,c1cc(ccc1)C=C,0.0047
000100-52-7,O=Cc1ccccc1,0.009
000101-20-2,c1(c(ccc(c1)NC(=O)Nc1ccc(cc1)Cl)Cl)Cl,0.0000077
000101-84-8,O(c1ccccc1)c1ccccc1,0.00067
000104-55-2,c1ccccc1/C=C/C=O,0.00705
000105-67-9,c1(cc(ccc1O)C)C,0.0021
000106-24-1,CC(=CCC/C(=C/CO)/C)C,0.015
000107-21-1,C(CO)O,10
000107-41-5,CC(C)(C[C@@H](C)O)O,3.2
000108-39-4,c1ccc(cc1O)C,0.0188
000111-70-6,CCCCCCCO,0.063
000111-76-2,C(COCCCC)O,1
000111-77-3,COCCOCCO,0.93
000111-90-0,CCOCCOCCO,3.34
000112-05-0,O=C(O)CCCCCCCC,0.096
000112-27-6,OCCOCCOCCO,35
000112-30-1,C(CCCCCCC)CCO,0.00651
000117-81-7,CCCC[C@H](CC)COC(=O)c1ccccc1C(=O)OC[C@@H](CC)CCCC,0.00016
000120-47-8,C(=O)(c1ccc(cc1)O)OCC,0.0187
000120-72-9,c1ccc2c(c1)NCC2,0.001
000124-18-5,CCCCCCCCCC,0.018
000131-11-3,COC(=O)c1ccccc1C(=O)OC,0.033
000131-57-7,c1(cc(ccc1C(=O)c1ccccc1)OC)O,0.0019
000137-26-8,N(C)(C)C(=S)SSC(=S)N(C)C,0.00001
000138-86-3,C1CC(=CC[C@H]1C(=C)C)C,0.0282
000141-78-6,O=C(OCC)C,0.56
000576-26-1,Cc1cccc(C)c1O,0.01124
000586-62-9,C1=C(C)CCC(=C(C)C)C1,0.00138
000624-92-0,CSSC,0.00161
001222-05-5,O1C[C@H](c2c(C1)cc1c(c2)C([C@H](C1(C)C)C)(C)C)C,0.000282
003380-34-5,c1(cc(ccc1Oc1ccc(cc1Cl)Cl)Cl)O,0.00018
003648-20-2,c1(ccccc1C(=O)OCCCCCCCCCCC)C(=O)OCCCCCCCCCCC,0.00002
004065-45-6,c1(cc(c(cc1S(=O)(=O)O)C(=O)c1ccccc1)O)OC,0.05
004191-73-5,c1cc(ccc1C(=O)OC(C)C)O,0.0085
004247-02-3,c1cc(ccc1O)C(=O)OCC(C)C,0.0076
004602-84-0,OC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C,0.0022
005466-77-3,COc1ccc(cc1)/C=C/C(=O)OC[C@@H](CC)CCCC,0.00029
005989-27-5,C1(=CC[C@@H](CC1)C(=C)C)C,0.000421
015323-35-0,c1(c(cc2c(c1)C([C@H](C2(C)C)C)(C)C)C)C(=O)C,0.00033
026761-40-0,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,0.00002
027554-26-3,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,0.00016
028553-12-0,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,0.00006
036861-47-9,C1([C@@]2(C(=O)/C(=C\c3ccc(C)cc3)/[C@H]1CC2)C)(C)C,0.00056
068140-48-7,c1(cc2c(cc1C(=O)C)[C@H]([C@@H](C2(C)C)C)C(C)C)C,0.00042
